id,facility_id,drug_id,batch_id,quantity_on_hand,quantity_reserved,quantity_damaged
fffb97c8-36b5-4db0-8511-209b8c18236d,4bd7ab0d-7a82-4e3f-a689-9d5bb57f24af,81cfce7a-db8c-41bc-8a00-27f2cd737bf8,41317497-baad-49dd-9e46-53228fa0e6ce,711,0,0
f7c23cc1-15c6-4001-8775-c33ca4631081,4412a3ea-7898-42e2-8fb3-7afd57d7d349,81cfce7a-db8c-41bc-8a00-27f2cd737bf8,7f042d37-5628-456c-bd8c-eca77d4d5a20,1094,0,0
70ee3eb4-f7fa-43df-b375-8ebca4fc213a,1dd19dd7-312d-48db-9235-3d33d6952c2e,81cfce7a-db8c-41bc-8a00-27f2cd737bf8,7e11e77c-212f-48b8-a30b-7f7b8fa3eaf7,3251,0,0
33508bda-3e80-454f-b366-4198c36a4e9a,3148a08c-9795-4ef7-b51a-d8a942e504f9,81cfce7a-db8c-41bc-8a00-27f2cd737bf8,b172e806-7fb2-432f-89f5-528f262b0286,277,0,0
5b385788-44ae-48df-bb1e-b1ef56f4d35a,4412a3ea-7898-42e2-8fb3-7afd57d7d349,81cfce7a-db8c-41bc-8a00-27f2cd737bf8,8499cc5f-b9dc-48bb-ab86-3992be91f9af,3140,0,0
6267f046-c0aa-4156-9d84-f53b4f57a512,0395b295-1937-4d01-9a55-8c1628ca811e,81cfce7a-db8c-41bc-8a00-27f2cd737bf8,59e2b5f7-1df5-4b43-a72c-86dff16d8f4c,1510,0,0
67c64b78-78bb-41e9-9dfa-d44a57aa592d,4efa322e-b7da-46a3-8997-0c5785d3443a,81cfce7a-db8c-41bc-8a00-27f2cd737bf8,8d27885c-3d81-40ad-94d6-c9d5adc65a25,3319,0,0
5e4aedc7-0d42-411d-ac56-ca9165d282f2,4efa322e-b7da-46a3-8997-0c5785d3443a,81cfce7a-db8c-41bc-8a00-27f2cd737bf8,e7154492-addd-4246-80db-723f9ee74b65,333,0,0
af35e779-41e7-4923-b4ad-80ecd41f3a28,d9232cfb-c4f1-4e59-8121-2970b4908912,81cfce7a-db8c-41bc-8a00-27f2cd737bf8,b863fe78-2cf4-4dee-a0a6-9867573a82fe,1473,0,0
d67fd269-09da-4ae9-b03c-b767eb5eeaa8,8c9dd271-7fe2-4838-95b7-ecf6fb2d9d2c,81cfce7a-db8c-41bc-8a00-27f2cd737bf8,b3f7972a-85ef-4fef-990e-bd259c276d45,2358,0,0
edb10aa1-70fa-4b8b-ab87-dc750dd9a5cb,65300365-fddf-4f82-9622-06ddc4c773d5,08cf44a2-7843-40db-8be5-b7ec90054e44,da12b073-0236-4e41-9eb8-9ba502d7261c,1451,0,0
6ab7e38d-7f45-4c4b-82c7-78be8e26b370,d9232cfb-c4f1-4e59-8121-2970b4908912,08cf44a2-7843-40db-8be5-b7ec90054e44,27d3d403-f001-41bd-ae6f-4c3331eac46c,1650,0,0
ff9dcfd6-95ed-48d3-ad33-3261e48c7b1d,ba01ba31-4727-4fae-ad1e-216f0c07e61c,08cf44a2-7843-40db-8be5-b7ec90054e44,78b6bc85-b102-4380-a5d9-ab8c2852046c,1292,0,0
fb1121b9-cc65-48f4-b2a4-4f5865384be9,52b26c2e-5540-42a1-a8c0-5f96b1a7df56,08cf44a2-7843-40db-8be5-b7ec90054e44,7e8a30c7-51aa-4281-89be-a742d8b3774a,962,0,0
f0418b40-6d68-4671-a4c2-5ea28c332729,0395b295-1937-4d01-9a55-8c1628ca811e,08cf44a2-7843-40db-8be5-b7ec90054e44,a8d6b879-127f-4f15-bf79-f63089646add,365,0,0
457fa414-1ef1-4ae5-bc16-0a4e145e2fc1,1dd19dd7-312d-48db-9235-3d33d6952c2e,08cf44a2-7843-40db-8be5-b7ec90054e44,0ce49aa1-00af-4a57-ae7f-b410691a2d23,1097,0,0
26ec4625-104b-4534-b3fd-79b0f8a99b3e,daceb465-bb39-4f15-8e6d-00a26b0b331e,08cf44a2-7843-40db-8be5-b7ec90054e44,1f4a7bfb-b6f2-46d1-9392-041bb9c50cbb,629,0,0
81faf718-6704-4629-8a78-dc0b6cc01221,8c9dd271-7fe2-4838-95b7-ecf6fb2d9d2c,08cf44a2-7843-40db-8be5-b7ec90054e44,1b26c8ff-287a-48e7-bc51-ad850b9e15d1,546,0,0
129d5444-c05d-4638-8d35-4aec87fb0f26,6c62826c-5647-4a14-bc5c-84f2cdfde6ae,08cf44a2-7843-40db-8be5-b7ec90054e44,17dde71e-6c92-40de-a774-db52c6f898bc,926,0,0
d0cc8f4a-d113-4d04-87eb-e86e4bf90334,ba01ba31-4727-4fae-ad1e-216f0c07e61c,08cf44a2-7843-40db-8be5-b7ec90054e44,ed6fc7ee-35dc-4842-b1aa-5393cdd767eb,2723,0,0
91364e2a-fb67-49a9-b5c8-1dafec6a750d,dfa22e57-5b54-457b-80ec-8692ae3d76fb,74970ff4-2a08-4f93-a3e3-06c395e7cc5d,9b3b6354-8520-4623-bccd-d28851660eb1,4114,0,0
18bd0121-f008-4469-bb0e-61dd34c5aa1d,24fe0dbe-455f-431e-9ccb-31c13ea1ee3e,74970ff4-2a08-4f93-a3e3-06c395e7cc5d,5850e242-6f1c-400d-b8f2-0ad9d67de663,1833,0,0
214f8281-4c82-4586-bb9c-8dd8e3435c21,52b26c2e-5540-42a1-a8c0-5f96b1a7df56,74970ff4-2a08-4f93-a3e3-06c395e7cc5d,ce61a626-d680-44b7-a12e-ed9a0b64bf63,333,0,0
fce10ba7-65af-4152-8c88-198a5ef11be7,d9232cfb-c4f1-4e59-8121-2970b4908912,74970ff4-2a08-4f93-a3e3-06c395e7cc5d,4409416e-abca-4058-8b4e-8974eb549a2c,1909,0,0
b332fcb0-028e-4e1c-aec5-a2374798d756,65300365-fddf-4f82-9622-06ddc4c773d5,74970ff4-2a08-4f93-a3e3-06c395e7cc5d,df5be06f-11b9-40f4-ab1f-56a0e2ce5bee,685,0,0
6e67c457-50e1-495c-94d9-1b03a1f2596b,5e3c8af4-67c2-4470-912a-ecb7bb53f406,74970ff4-2a08-4f93-a3e3-06c395e7cc5d,213eeb4f-9404-4c0f-bfe6-e542d8e8f5b3,871,0,0
a23367c6-8522-44b7-b631-1f88b8fb0a9f,daceb465-bb39-4f15-8e6d-00a26b0b331e,74970ff4-2a08-4f93-a3e3-06c395e7cc5d,b239784d-440e-46eb-b0d9-5cc2a1465ef2,724,0,0
3abefdf1-fce6-4d03-b455-2c9bdccb71e9,1a119cae-1a63-436a-b4b4-7221f0e23bb8,74970ff4-2a08-4f93-a3e3-06c395e7cc5d,164f64a6-3661-4885-a31a-778ca57d5c48,690,0,0
de838670-ae43-4692-9aac-b668e60bac32,4bd7ab0d-7a82-4e3f-a689-9d5bb57f24af,74970ff4-2a08-4f93-a3e3-06c395e7cc5d,fbf2913a-bdc7-4b10-84a3-390a5d6578f9,168,0,0
a78be6c4-3a17-4f27-b5e4-04dd66d5c6dc,24fe0dbe-455f-431e-9ccb-31c13ea1ee3e,74970ff4-2a08-4f93-a3e3-06c395e7cc5d,83edc0de-3d9e-4971-9dff-23fd3ddfa6d1,1114,0,0
0906a216-0099-451e-aaf5-7224c48d80f4,4412a3ea-7898-42e2-8fb3-7afd57d7d349,7c2d76e0-6fbe-4bf9-9480-1926f496b863,4b839ab4-095c-432f-a720-9055f4a82568,521,0,0
6daad019-e507-43e4-b1bd-ea7a2f237350,1a119cae-1a63-436a-b4b4-7221f0e23bb8,7c2d76e0-6fbe-4bf9-9480-1926f496b863,19d0411e-3b69-44b3-817e-a1ce7374ed4c,2002,0,0
6ab324bc-6927-481f-b3d2-fad90c56142b,5e3c8af4-67c2-4470-912a-ecb7bb53f406,7c2d76e0-6fbe-4bf9-9480-1926f496b863,83d57218-678a-4718-bea5-485d7a63a4a0,974,0,0
6d076ce7-421c-4816-a8d8-dc4e0bde8d5c,deebacc1-8096-49c3-adbd-e050753ed64d,7c2d76e0-6fbe-4bf9-9480-1926f496b863,8b2859db-f987-4111-acb5-1423772ef90d,874,0,0
a1af2278-1fb6-4563-8f65-2a094e26999f,f4957732-1c15-480e-a95c-168c44e645f3,7c2d76e0-6fbe-4bf9-9480-1926f496b863,0d1de61e-ed57-411a-a987-e8b0b91ec728,1906,0,0
6384ac65-befb-44e7-935b-7c5b2b1108c0,6c62826c-5647-4a14-bc5c-84f2cdfde6ae,7c2d76e0-6fbe-4bf9-9480-1926f496b863,da4e7063-d4ea-4f08-acc2-f580ea46d594,1835,0,0
c9f851ff-a19c-40e4-81e0-59cd112d9748,f4957732-1c15-480e-a95c-168c44e645f3,7c2d76e0-6fbe-4bf9-9480-1926f496b863,969e2e57-34b5-42cf-8e16-e10ea15793cc,388,0,0
